conversation,facet,answer_text,confidence
Definitely! I’m aiming for a 5K run next month. I want to improve my time from last year. It’s a fun challenge!,Autonomy,,0.55
"I finished it in 35 minutes. I'd love to get it down to 30 this year. It’ll be tough, but I’m committed!",Growth Mindset,I'd love to get it down to 30 this year,0.9
Yes! I'm following a 5K training schedule that ramps up my distance each week. I also mix in strength to keep my legs strong.,Purpose,I'm following a 5K training schedule,0.85
"I like to run with a friend sometimes. We push each other, and it’s much more fun that way! Plus, we laugh a lot.",Social Connectedness,I like to run with a friend,0.9
"Pretty good! I’ve been busy with work, but I’m trying to maintain a better work-life balance. It’s a challenge for sure.",Self-Efficacy,I’m trying to maintain a better work-life balance,0.85
I’ve started setting firm boundaries for my work hours. I also block off time for myself to relax and unwind.,Autonomy,I’ve started setting firm boundaries for my work hours,0.9
"I’ve planted tomatoes, basil, and some flowers. Watching them grow is so satisfying!",Growth Mindset,Watching them grow is so satisfying,0.85
"Not yet, but I can't wait! I’m planning to make a fresh salsa. What’s your favorite dish with tomatoes?",Self-Efficacy,,0.55
"Yum! That's a great choice. I should try making that too. Anyway, I have to get back to work now. Talk later!",Growth Mindset,I should try making that too,0.85
It was hectic! But I managed to get through it. How about you? What have you been up to?,Self-Efficacy,I managed to get through it,0.9
I can’t wait to get back to my training for the 5K! I also want to spend some time with family this weekend.,Self-Efficacy,,0.55
Yes! We’re having a little get-together at my place. I’m going to make that salsa I talked about!,Social Connectedness,We’re having a little get-together,0.85
It's thriving! The tomatoes are almost ready to pick! I might have more than I can use!,Self-Efficacy,,0.55
Great idea! I’ll make a salad with them too. Fresh from the garden is always a hit!,Autonomy,I’ll make a salad,0.85
Just some quality time with my grandchildren! We’re planning to play some board games together.,Social Connectedness,quality time with my grandchildren,0.9
I love playing Scrabble! My grandkids are starting to get the hang of it. What about you? Any favorite games?,Social Connectedness,My grandkids are starting to get the hang of it,0.85
"So true! There's nothing like a good trivia challenge to get everyone hyped up. Anyway, I should get back to work now!",Social Connectedness,get everyone hyped up,0.85
I’ve been good! Busy with work and family. Just finished my 5K last weekend and I did it in 32 minutes!,Social Connectedness,,0.55
"Thanks! It was so much fun, and the support from everyone was incredible. I pushed myself, but it was worth it!",Social Connectedness,the support from everyone was incredible,0.85
"I’m thinking of training for a half marathon! It sounds challenging, but exhilarating too!",Purpose,training for a half marathon,0.85
"Not yet, but planning to start in the next few weeks. I want to ensure I'm ready for the distance!",Autonomy,,0.55
"Thank you! I appreciate your support. It really helps me stay motivated! Now, I must get back to work for the day.",Support Utilization,I appreciate your support,0.85
"Hey StoryBot! I've been feeling a little stuck lately. I believe that I need a change in my routine, but I don't know where to start.",Locus of Control,I believe that I need a change in my routine,0.85
"I think that my workout schedule is too monotonous. I used to enjoy yoga, but now I feel like I do the same thing every week. Maybe it’s time to explore some new classes?",Growth Mindset,Maybe it’s time to explore some new classes,0.85
"I think I might enjoy kickboxing or maybe even some dance classes. People say I have a good rhythm, but I haven’t danced in so long!",Growth Mindset,I think I might enjoy kickboxing or maybe even some dance classes,0.85
"I signed up for a kickboxing class! I believe it will be a great change, but I am a bit nervous about how challenging it might be.",Growth Mindset,I believe it will be a great change,0.85
"I had my first kickboxing class today! I think it went pretty well! It felt empowering, and I believe I can get stronger with practice.",Self-Efficacy,,0.55
"I think I will try to go to at least two classes a week. Discipline is key, right? But I also want to enjoy the process and not make it feel like a chore.",Growth Mindset,I think I will try to go to at least two classes a week,0.85
"Yes, actually. I’ve started meditating for 10 minutes a day. I believe taking that time for myself really helps me feel centered.",Emotional Regulation,meditating for 10 minutes a day,0.9
I feel calmer and more focused. I think it’s really helping me manage my stress levels. I hope I can continue to grow this habit.,Self-Efficacy,,0.55
I've also been thinking about my work-life balance. I believe I need to set clearer boundaries at work to have more time for myself.,Autonomy,I believe I need to set clearer boundaries at work,0.85
I think I’ll start by limiting my work hours and reserving that time for myself. Maybe I can use that time for more self-care or hobbies.,Self-Efficacy,,0.55
"I love painting, and I think I might return to that. Art has always been a source of happiness for me.",Values Alignment,Art has always been a source of happiness for me,0.85
"I’m thinking landscapes. I believe they remind me of tranquility, and I think I can pour my feelings into them.",Self-Efficacy,,0.55
I’m starting to gather supplies and plan my first canvas. I think diving back into art will be therapeutic for me.,Growth Mindset,diving back into art,0.85
"Overall, I feel a sense of renewal! I believe I’m on the right path towards finding more joy and balance in my life. Thanks for being here, StoryBot!",Optimism,I believe I’m on the right path towards finding more joy and balance in my life,0.85
Definitely the views at the summit! It felt so rewarding after the climb. I wish every day could be like this.,Optimism,I wish every day could be like this.,0.85
I’m planning a weekend trip to the coast next! I can’t wait to explore the beaches.,Self-Efficacy,,0.55
"A mix of both! I love splashing around in the water, but I also cherish reading a good book by the waves.",Values Alignment,I also cherish reading a good book by the waves,0.85
"I’m torn between a new mystery novel and a light-hearted travel memoir. Decisions, decisions!",Autonomy,I’m torn between a new mystery novel and a light-hearted travel memoir,0.85
That's a great idea! I tend to read more pages when I have options. Thank you!,Autonomy,I tend to read more pages when I have options,0.85
"It’s been pretty busy at work. I’m feeling a bit overwhelmed, to be honest.",Emotional Regulation,I’m feeling a bit overwhelmed,0.85
I try going for short walks during breaks. It really helps to clear my mind.,Emotional Regulation,It really helps to clear my mind,0.85
Yes! There’s a cute little park a few blocks away. I love sitting by the pond.,Values Alignment,I love sitting by the pond,0.85
Absolutely! I’ve even started journaling there. It’s a great escape from work.,Emotional Regulation,journaling,0.85
"I’ve realized I need to find more balance. I love my adventures, but I also need downtime.",Values Alignment,I need to find more balance,0.85
"Honestly, I might need to set aside specific days just for relaxing. It’s hard to prioritize that.",Self-Compassion,I might need to set aside specific days just for relaxing,0.85
That could work! Thanks for the suggestion. I’ll give it a try.,Growth Mindset,I’ll give it a try,0.85
"Hey StoryBot! I’ve been making more time for relaxation lately, and it’s been wonderful.",Self-Compassion,making more time for relaxation,0.85
"I’ve started some new hobbies, like painting and gardening! It feels great to express myself.",Growth Mindset,started some new hobbies,0.85
